Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
movement.n.04,1.0,1.0,17.642,1.7642,0.2
movie.n.01,1.0,1.0,15.511,1.5511,0.35
mull.n.01,0.1,1.0,45.454,4.5454,0.3
multitude.n.03,0.4,1.0,23.275,2.3274999999999997,0.15
multitudinousness.n.01,0.0,1.0,13.367,1.3367,
muse.n.02,0.3,0.7,47.278,4.7278,0.4
music.n.01,1.0,1.0,11.638,1.1638,0.2
myringotomy.n.01,0.0,1.0,17.592,1.7591999999999999,
narrow.n.01,0.5,0.8,40.557,4.0557,0.3
nation.n.02,1.0,1.0,12.211,1.2211,0.2
natural_order.n.01,0.2,0.8,44.049,4.4049,
natural_process.n.01,0.3,0.7,26.712,2.6712,0.15
nature_study.n.01,0.2,1.0,28.883000000000003,2.8883,
need.n.01,0.9,1.0,21.005,2.1005,0.25
news.n.01,1.0,1.0,18.673,1.8672999999999997,0.25
newspaper.n.01,1.0,1.0,20.614,2.0614,0.45
niche.n.01,0.0,0.9,47.855000000000004,4.785500000000001,0.35
nook_and_cranny.n.01,0.0,1.0,47.578,4.7578000000000005,
nose_cone.n.01,0.0,1.0,28.330000000000002,2.833,0.4
number.n.01,1.0,1.0,12.497,1.2497,0.3
numeral.n.01,0.6,1.0,34.926,3.4926000000000004,0.25
obiter_dictum.n.02,0.0,1.0,20.205000000000002,2.0205,0.4
oblateness.n.01,0.0,1.0,15.559,1.5558999999999998,0.4
obstacle_race.n.01,0.2,0.9,30.91,3.091,
oeuvre.n.01,0.1,0.9,16.146,1.6146,0.4
office.n.04,1.0,1.0,15.263,1.5263,0.2
opinion.n.04,1.0,1.0,13.104,1.3104,0.35
opportunity.n.01,0.7,1.0,14.489,1.4489,0.3
outtake.n.01,0.1,1.0,20.637999999999998,2.0637999999999996,0.45
pace.n.03,0.7,1.0,58.84,5.884,0.25
painting.n.01,1.0,0.9,31.826999999999998,3.1826999999999996,0.4
palestra.n.01,0.4,0.9,77.473,7.7473,0.4
paratroops.n.01,0.0,1.0,21.509,2.1509,0.45
part.n.09,1.0,1.0,159.324,15.932400000000001,0.35
particular.n.01,1.0,0.9,16.684,1.6684,0.3
party.n.01,1.0,1.0,9.136000000000001,0.9136000000000001,0.25
peak.n.04,0.6,0.9,86.684,8.6684,0.3
peeper.n.02,0.0,1.0,45.39,4.539,0.4
penny_ante.n.01,0.0,1.0,21.026,2.1026,
peroration.n.02,0.0,1.0,23.221,2.3221,0.35
person.n.02,1.0,1.0,27.396,2.7396000000000003,0.35
picture.n.01,1.0,0.9,18.043,1.8043,0.35
pillar_of_islam.n.01,0.1,1.0,22.38,2.238,
pinnacle.n.03,0.1,1.0,40.979,4.0979,0.35
pinpoint.n.01,0.0,1.0,25.387999999999998,2.5387999999999997,0.25
place.n.10,1.0,1.0,13.818999999999999,1.3819,0.3
play.n.06,1.0,1.0,11.57,1.157,0.35
playing_field.n.02,0.6,0.9,46.876,4.6876,0.35
plea_bargain.n.01,0.0,1.0,30.171,3.0171,
plot.n.01,1.0,1.0,13.631,1.3631,0.45
plot_element.n.01,0.0,1.0,31.722,3.1722,
point.n.01,1.0,1.0,11.891,1.1891,0.45
police.n.01,1.0,1.0,11.309000000000001,1.1309,0.45
pommel.n.01,0.0,1.0,100.779,10.0779,0.3
pop_quiz.n.01,0.4,0.9,19.843,1.9843,
position.n.06,1.0,1.0,10.728,1.0728,0.35
post.n.01,1.0,1.0,13.245000000000001,1.3245,0.3
poverty_trap.n.01,0.1,1.0,30.888,3.0888,
power.n.05,1.0,1.0,16.792,1.6792000000000002,0.15
predetermination.n.02,0.1,1.0,16.479,1.6479,0.45
price.n.02,1.0,1.0,13.242,1.3242,0.35
principal.n.02,0.8,1.0,15.657,1.5657,0.5
principle.n.01,0.7,1.0,37.208999999999996,3.7208999999999994,0.35
probability.n.01,0.8,1.0,29.776999999999997,2.9776999999999996,0.15
procedure.n.01,0.8,0.9,22.997,2.2997,0.3
process.n.05,0.9,0.9,13.471,1.3471,0.25
prodigy.n.03,0.1,1.0,18.279,1.8279,0.4
promise.n.02,0.8,1.0,15.562,1.5562,0.35
promontory.n.01,0.0,1.0,15.22,1.522,0.25
promptness.n.01,0.0,1.0,15.874,1.5874000000000001,0.35
protocol.n.03,0.5,0.8,27.181,2.7181,0.35
provision.n.04,0.1,1.0,15.379999999999999,1.5379999999999998,0.6
puppetry.n.01,0.0,1.0,20.17,2.0170000000000003,0.35
qing.n.01,0.0,1.0,13.633000000000001,1.3633000000000002,0.45
quality.n.03,0.9,0.9,14.764,1.4764,0.4
quantity.n.02,1.0,1.0,11.206,1.1206,0.3
quickening.n.02,0.1,1.0,38.103,3.8103000000000002,0.25
radiator_cap.n.01,0.0,1.0,14.790000000000001,1.479,
rainbow.n.02,0.9,0.9,17.2,1.72,0.4
rate.n.01,0.9,1.0,17.307,1.7307,0.2
reaction.n.03,0.9,1.0,15.616,1.5615999999999999,0.25
reading.n.03,1.0,0.9,14.891,1.4891,0.3
real_world.n.01,0.8,0.9,21.319,2.1319,
record.n.05,1.0,1.0,25.777,2.5777,0.3
recording_studio.n.01,0.2,1.0,14.979,1.4979,
region.n.01,1.0,1.0,11.738,1.1738,0.2
relative.n.01,1.0,1.0,26.686,2.6686,0.35
report.n.01,0.9,0.9,28.06,2.806,0.3
reputation.n.03,0.6,1.0,20.32,2.032,0.35
rescript.n.01,0.1,1.0,30.405,3.0405,0.3
respect.n.03,1.0,1.0,16.323999999999998,1.6323999999999999,0.25
rest.n.02,1.0,0.9,15.597,1.5596999999999999,0.3
return_on_invested_capital.n.01,0.0,1.0,36.712,3.6712000000000002,0.3
road_rage.n.01,0.0,1.0,31.328,3.1328,
room.n.01,1.0,1.0,13.23,1.323,0.35
royal_road.n.01,0.3,1.0,30.45,3.045,
rubicon.n.02,0.0,1.0,11.877,1.1877,0.45
rule.n.11,1.0,1.0,9.265,0.9265000000000001,0.35
running.n.03,0.8,1.0,20.428,2.0428,0.3
ruse.n.01,0.0,1.0,28.703,2.8703,0.5
safety_match.n.01,0.2,1.0,21.355,2.1355,
sanctimoniousness.n.01,0.0,1.0,22.836,2.2836,0.5
sanguinity.n.01,0.0,1.0,16.971,1.6971,
sawhorse.n.01,0.0,1.0,240.98799999999997,24.098799999999997,0.4
say.n.01,1.0,1.0,19.95,1.9949999999999999,0.35
scene.n.04,1.0,1.0,21.03,2.103,0.4
school.n.02,1.0,1.0,8.791,0.8791,0.35
schutzstaffel.n.01,0.0,0.9,27.226,2.7226,0.5
sea-duty.n.01,0.0,1.0,45.296,4.5296,
second_nature.n.01,0.3,1.0,51.321,5.132099999999999,
secondo.n.01,0.2,1.0,19.591,1.9591,0.35
set.n.05,1.0,1.0,12.816,1.2816,0.2
shadow_cabinet.n.01,0.0,1.0,24.517,2.4516999999999998,
shape.n.01,1.0,1.0,10.987,1.0987,0.25
share.n.01,1.0,1.0,61.772,6.1772,0.25
ship's_company.n.01,0.0,1.0,18.581,1.8580999999999999,0.4
shiva.n.01,0.0,1.0,31.57,3.157,0.3
shooting.n.01,0.7,0.9,17.64,1.764,0.3
show-stopper.n.01,0.0,1.0,31.760999999999996,3.1760999999999995,0.4
shrillness.n.01,0.0,1.0,55.334999999999994,5.533499999999999,0.3
side.n.04,1.0,1.0,27.92,2.7920000000000003,0.4
side_yard.n.01,0.1,1.0,17.491,1.7490999999999999,
sign.n.01,1.0,1.0,11.053,1.1053000000000002,0.3
silver_certificate.n.01,0.0,1.0,29.928,2.9928,
situation.n.02,0.9,1.0,12.124,1.2124000000000001,0.25
sleeper.n.09,0.5,1.0,33.877,3.3877,0.5
slush.n.01,0.0,1.0,48.591,4.8591,0.5
snap.n.02,0.4,1.0,28.482,2.8482,0.35
soubrette.n.02,0.0,0.9,20.655,2.0655,0.65
